WKT,název,popis,polygon_numpy,polygon_numpy_calibrated
"POLYGON ((14.3939446 50.1003998, 14.3939526 50.1003585, 14.3940599 50.1003602, 14.3940572 50.1004066, 14.3939446 50.1003998))",cross1,,"[[14.3939446 50.1003998]
 [14.3939526 50.1003585]
 [14.3940599 50.1003602]
 [14.3940572 50.1004066]
 [14.3939446 50.1003998]]","[[-105.73231793  -21.70679349]
 [-105.16169368  -26.29914777]
 [ -97.50846763  -26.11007619]
 [ -97.70107695  -20.95062561]
 [-105.73231793  -21.70679349]]"
"POLYGON ((14.3957376 50.0996057, 14.3957622 50.0995553, 14.3958167 50.0995834, 14.3957818 50.0996333, 14.3957376 50.0996057))",cross2,,"[[14.3957376 50.0996057]
 [14.3957622 50.0995553]
 [14.3958167 50.0995834]
 [14.3957818 50.0996333]
 [14.3957376 50.0996057]]","[[  22.1567181  -110.00470972]
 [  23.91151422 -115.60889164]
 [  27.79872761 -112.48419678]
 [  25.30926618 -106.93563504]
 [  22.1567181  -110.00470972]]"
"POLYGON ((14.3956772 50.0999997, 14.3955726 50.0999946, 14.3955726 50.0999464, 14.3956799 50.0999516, 14.3956772 50.0999997))",cross3,,"[[14.3956772 50.0999997]
 [14.3955726 50.0999946]
 [14.3955726 50.0999464]
 [14.3956799 50.0999516]
 [14.3956772 50.0999997]]","[[ 17.84738081 -66.19396873]
 [ 10.38669149 -66.76126428]
 [ 10.38683187 -72.12086714]
 [ 18.04010889 -71.54244678]
 [ 17.84738081 -66.19396873]]"
"POLYGON ((14.3953446 50.0999111, 14.3953554 50.0998543, 14.3954358 50.0998578, 14.3954278 50.0999146, 14.3953446 50.0999111))",cross4,,"[[14.3953446 50.0999111]
 [14.3953554 50.0998543]
 [14.3954358 50.0998578]
 [14.3954278 50.0999146]
 [14.3953446 50.0999111]]","[[-5.87543336e+00 -7.60464546e+01]
 [-5.10496361e+00 -8.23623173e+01]
 [ 6.29658226e-01 -8.19729979e+01]
 [ 5.88950107e-02 -7.56571312e+01]
 [-5.87543336e+00 -7.60464546e+01]]"
"POLYGON ((14.3962589 50.1000067, 14.396224 50.099974, 14.3963018 50.0999275, 14.396342 50.0999585, 14.3962589 50.1000067))",Mnohoúhelník 6,,"[[14.3962589 50.1000067]
 [14.396224  50.099974 ]
 [14.3963018 50.0999275]
 [14.396342  50.0999585]
 [14.3962589 50.1000067]]","[[ 59.33771287 -65.41429679]
 [ 56.84856125 -69.0504634 ]
 [ 62.39791634 -74.220838  ]
 [ 65.26510182 -70.77368665]
 [ 59.33771287 -65.41429679]]"
"POLYGON ((14.396342 50.0999585, 14.3963903 50.0999327, 14.3965781 50.1000755, 14.3965432 50.100103, 14.396342 50.0999585))",Mnohoúhelník 7,,"[[14.396342  50.0999585]
 [14.3963903 50.0999327]
 [14.3965781 50.1000755]
 [14.3965432 50.100103 ]
 [14.396342  50.0999585]]","[[ 65.26510182 -70.77368665]
 [ 68.71025924 -73.64239288]
 [ 82.1046793  -57.7632211 ]
 [ 79.61528449 -54.70545453]
 [ 65.26510182 -70.77368665]]"
"POLYGON ((14.3964976 50.1001839, 14.3964547 50.1001529, 14.3965432 50.100103, 14.3965727 50.1001392, 14.3964976 50.1001839))",Mnohoúhelník 8,,"[[14.3964976 50.1001839]
 [14.3964547 50.1001529]
 [14.3965432 50.100103 ]
 [14.3965727 50.1001392]
 [14.3964976 50.1001839]]","[[ 76.36247689 -45.709899  ]
 [ 73.30273238 -49.15706365]
 [ 79.61528449 -54.70545453]
 [ 81.71923891 -50.68010975]
 [ 76.36247689 -45.709899  ]]"
"POLYGON ((14.39565 50.0994342, 14.3956581 50.0993912, 14.3957278 50.0993946, 14.3957251 50.0994393, 14.39565 50.0994342))",Mnohoúhelník 9,,"[[14.39565   50.0994342]
 [14.3956581 50.0993912]
 [14.3957278 50.0993946]
 [14.3957251 50.0994393]
 [14.39565   50.0994342]]","[[  15.90902452 -129.07483976]
 [  16.486903   -133.85621245]
 [  21.4583807  -133.47801095]
 [  21.26565762 -128.50759631]
 [  15.90902452 -129.07483976]]"
"POLYGON ((14.3971586 50.1007725, 14.397172 50.1005781, 14.3972176 50.1005798, 14.3972069 50.100776, 14.3971586 50.1007725))",Mnohoúhelník 10,,"[[14.3971586 50.1007725]
 [14.397172  50.1005781]
 [14.3972176 50.1005798]
 [14.3972069 50.100776 ]
 [14.3971586 50.1007725]]","[[123.50570635  19.74155256]
 [124.462489    -1.87472561]
 [127.71490821  -1.68553814]
 [126.95067997  20.13089984]
 [123.50570635  19.74155256]]"
"POLYGON ((14.3969092 50.1005596, 14.396944 50.1005235, 14.3970996 50.1005321, 14.3971533 50.1005734, 14.3969092 50.1005596))",Mnohoúhelník 11,,"[[14.3969092 50.1005596]
 [14.396944  50.1005235]
 [14.3970996 50.1005321]
 [14.3971533 50.1005734]
 [14.3969092 50.1005596]]","[[105.71832174  -3.93269397]
 [108.2006179   -7.94672635]
 [119.29878434  -6.98994263]
 [123.12873284  -2.39740581]
 [105.71832174  -3.93269397]]"
