WKT,název,popis,polygon_numpy,polygon_numpy_calibrated
"POLYGON ((14.3920187 50.101264, 14.3921045 50.1012744, 14.3920509 50.1013122, 14.3892083 50.1018938, 14.3891814 50.1018456, 14.3920187 50.101264))",Zikova,,"[[14.3920187 50.101264 ]
 [14.3921045 50.1012744]
 [14.3920509 50.1013122]
 [14.3892083 50.1018938]
 [14.3891814 50.1018456]
 [14.3920187 50.101264 ]]","[[-243.09594237   74.38916249]
 [-236.97630592   75.54546392]
 [-240.79919202   79.74871672]
 [-443.54123162  144.42788386]
 [-445.46014462  139.06839459]
 [-243.09594237   74.38916249]]"
"POLYGON ((14.3928559 50.1020491, 14.3929578 50.1019871, 14.3930061 50.1020215, 14.3916113 50.102782, 14.3907477 50.1032568, 14.3906994 50.103219, 14.3928559 50.1020491))",Technicka 1,,"[[14.3928559 50.1020491]
 [14.3929578 50.1019871]
 [14.3930061 50.1020215]
 [14.3916113 50.102782 ]
 [14.3907477 50.1032568]
 [14.3906994 50.103219 ]
 [14.3928559 50.1020491]]","[[-183.38246544  161.68747716]
 [-176.11471332  154.79331313]
 [-172.66977706  158.61839462]
 [-272.14887367  243.18399514]
 [-333.74043947  295.98142906]
 [-337.18541732  291.77838847]
 [-183.38246544  161.68747716]]"
"POLYGON ((14.3906136 50.1031639, 14.3905545 50.1031226, 14.3928291 50.1018874, 14.3928773 50.1019286, 14.3906136 50.1031639))",Technicka 2,,"[[14.3906136 50.1031639]
 [14.3905545 50.1031226]
 [14.3928291 50.1018874]
 [14.3928773 50.1019286]
 [14.3906136 50.1031639]]","[[-343.30502697  285.65178208]
 [-347.52030601  281.05959642]
 [-185.2941112   143.7072525 ]
 [-181.85628602  148.28845467]
 [-343.30502697  285.65178208]]"
"POLYGON ((14.3953622 50.1026603, 14.3968428 50.1027395, 14.396832 50.102798, 14.3953461 50.1027085, 14.3953622 50.1026603))",Solinova 2,,"[[14.3953622 50.1026603]
 [14.3968428 50.1027395]
 [14.396832  50.102798 ]
 [14.3953461 50.1027085]
 [14.3953622 50.1026603]]","[[ -4.6272382  229.6510891 ]
 [100.97185648 238.46125455]
 [100.20129919 244.96613352]
 [ -5.77564785 235.01066525]
 [ -4.6272382  229.6510891 ]]"
"POLYGON ((14.3962092 50.1012176, 14.3962736 50.1011866, 14.3973143 50.1019677, 14.3972821 50.1020227, 14.3962092 50.1012176))",Verdunska,,"[[14.3962092 50.1012176]
 [14.3962736 50.1011866]
 [14.3973143 50.1019677]
 [14.3972821 50.1020227]
 [14.3962092 50.1012176]]","[[ 55.78813472  69.23170155]
 [ 60.38153779  65.7848155 ]
 [134.60441193 152.64245059]
 [132.30750751 158.75806678]
 [ 55.78813472  69.23170155]]"
"POLYGON ((14.396409 50.1000748, 14.3963607 50.100037, 14.3973102 50.0995242, 14.3973531 50.0995655, 14.396409 50.1000748))",Dejvicka,,"[[14.396409  50.1000748]
 [14.3963607 50.100037 ]
 [14.3973102 50.0995242]
 [14.3973531 50.0995655]
 [14.396409  50.1000748]]","[[  70.04346732  -57.84152229]
 [  66.59857925  -62.04482401]
 [ 134.32542503 -119.06274216]
 [ 137.38511291 -114.47023313]
 [  70.04346732  -57.84152229]]"
"POLYGON ((14.3934283 50.0989771, 14.3934283 50.0989393, 14.3948338 50.0988842, 14.3954658 50.098874, 14.3960032 50.0989186, 14.3966094 50.0989565, 14.3966631 50.0989806, 14.3965987 50.0990012, 14.3957887 50.0989427, 14.3953917 50.0989186, 14.3950054 50.0989221, 14.3945227 50.0989358, 14.3938628 50.0989599, 14.3934283 50.0989771))",Kafkova,,"[[14.3934283 50.0989771]
 [14.3934283 50.0989393]
 [14.3948338 50.0988842]
 [14.3954658 50.098874 ]
 [14.3960032 50.0989186]
 [14.3966094 50.0989565]
 [14.3966631 50.0989806]
 [14.3965987 50.0990012]
 [14.3957887 50.0989427]
 [14.3953917 50.0989186]
 [14.3950054 50.0989221]
 [14.3945227 50.0989358]
 [14.3938628 50.0989599]
 [14.3934283 50.0989771]]","[[-142.55804538 -179.90406862]
 [-142.55805597 -184.10724265]
 [ -42.30698273 -190.23340088]
 [   2.7721546  -191.36666522]
 [  41.10351266 -186.40627759]
 [  84.34216718 -182.1904268 ]
 [  88.17234981 -179.5104705 ]
 [  83.57876342 -177.22003725]
 [  25.8036531  -183.72694312]
 [  -2.51334731 -186.40749289]
 [ -30.06722701 -186.01889378]
 [ -64.49710121 -184.49605021]
 [-111.56621156 -181.81661195]
 [-142.55804538 -179.90406862]]"
"POLYGON ((14.3934318 50.0990495, 14.3945959 50.0999407, 14.3945529 50.0999682, 14.3943384 50.0997962, 14.3938878 50.0994693, 14.3933835 50.0990839, 14.3934318 50.0990495))",Buzulucka,,"[[14.3934318 50.0990495]
 [14.3945959 50.0999407]
 [14.3945529 50.0999682]
 [14.3943384 50.0997962]
 [14.3938878 50.0994693]
 [14.3933835 50.0990839]
 [14.3934318 50.0990495]]","[[-142.30837898 -171.85354543]
 [ -59.27738419  -72.75604818]
 [ -62.34444619  -69.69822282]
 [ -77.64370775  -88.82394647]
 [-109.78322752 -125.1738319 ]
 [-145.75348329 -168.02842504]
 [-142.30837898 -171.85354543]]"
"POLYGON ((14.3921983 50.1003226, 14.3921339 50.1003192, 14.3922841 50.0990494, 14.3923431 50.0990494, 14.3921983 50.1003226))",Banskobystricka,,"[[14.3921983 50.1003226]
 [14.3921339 50.1003192]
 [14.3922841 50.0990494]
 [14.3923431 50.0990494]
 [14.3921983 50.1003226]]","[[-230.28811078  -30.29014467]
 [-234.88148454  -30.66811874]
 [-224.17090319 -171.86383349]
 [-219.96258313 -171.86390691]
 [-230.28811078  -30.29014467]]"
"POLYGON ((14.3939546 50.1006027, 14.3940243 50.1006027, 14.3940189 50.1006922, 14.3940619 50.1008195, 14.3941048 50.1009262, 14.3941638 50.100995, 14.3942603 50.1010844, 14.3943462 50.1011533, 14.3944427 50.1012221, 14.3945286 50.1012702, 14.3946573 50.1013322, 14.3947753 50.10137, 14.3949524 50.1014285, 14.3950918 50.1014664, 14.3951569 50.1014686, 14.3951669 50.1015214, 14.3950435 50.1014973, 14.3948933 50.1014526, 14.3947485 50.101401, 14.3946144 50.1013563, 14.3944535 50.1012771, 14.3943462 50.1012083, 14.3942389 50.1011326, 14.394137 50.1010397, 14.3940619 50.100964, 14.3940243 50.1008814, 14.3939868 50.1008023, 14.3939492 50.1007094, 14.3939546 50.1006027))",Periferie,,"[[14.3939546 50.1006027]
 [14.3940243 50.1006027]
 [14.3940189 50.1006922]
 [14.3940619 50.1008195]
 [14.3941048 50.1009262]
 [14.3941638 50.100995 ]
 [14.3942603 50.1010844]
 [14.3943462 50.1011533]
 [14.3944427 50.1012221]
 [14.3945286 50.1012702]
 [14.3946573 50.1013322]
 [14.3947753 50.10137  ]
 [14.3949524 50.1014285]
 [14.3950918 50.1014664]
 [14.3951569 50.1014686]
 [14.3951669 50.1015214]
 [14.3950435 50.1014973]
 [14.3948933 50.1014526]
 [14.3947485 50.101401 ]
 [14.3946144 50.1013563]
 [14.3944535 50.1012771]
 [14.3943462 50.1012083]
 [14.3942389 50.1011326]
 [14.394137  50.1010397]
 [14.3940619 50.100964 ]
 [14.3940243 50.1008814]
 [14.3939868 50.1008023]
 [14.3939492 50.1007094]
 [14.3939546 50.1006027]]","[[-105.01916559    0.85469147]
 [-100.04780292    0.85471629]
 [-100.43301232   10.80667388]
 [ -97.3661212    24.961825  ]
 [ -94.30636386   36.82635919]
 [ -90.09826473   44.47660989]
 [ -83.21553021   54.41750494]
 [ -77.08883663   62.07890231]
 [ -70.20612379   69.72919552]
 [ -64.0794383    75.07775018]
 [ -54.900116     81.97196517]
 [ -46.48394216   86.17526314]
 [ -33.8525775    92.6803863 ]
 [ -23.91010681   96.89486696]
 [ -19.26692857   97.13958989]
 [ -18.55381188  103.01070488]
 [ -27.35511489  100.33072801]
 [ -38.06786677   95.360114  ]
 [ -48.39547771   89.62228131]
 [ -57.95995397   84.65172484]
 [ -69.43589072   75.84493351]
 [ -77.08889639   68.19463172]
 [ -84.74191765   59.77709487]
 [ -92.00979763   49.44701631]
 [ -97.36621702   41.0295141 ]
 [-100.04797213   31.84478515]
 [-102.72260593   23.04924037]
 [-105.40437423   12.7192048 ]
 [-105.01916559    0.85469147]]"
