WKT,název,popis
"POLYGON ((14.3939446 50.1003998, 14.3939526 50.1003585, 14.3940599 50.1003602, 14.3940572 50.1004066, 14.3939446 50.1003998))",cross1,
"POLYGON ((14.3957376 50.0996057, 14.3957622 50.0995553, 14.3958167 50.0995834, 14.3957818 50.0996333, 14.3957376 50.0996057))",cross2,
"POLYGON ((14.3956772 50.0999997, 14.3955726 50.0999946, 14.3955726 50.0999464, 14.3956799 50.0999516, 14.3956772 50.0999997))",cross3,
"POLYGON ((14.3953446 50.0999111, 14.3953554 50.0998543, 14.3954358 50.0998578, 14.3954278 50.0999146, 14.3953446 50.0999111))",cross4,
"POLYGON ((14.3962589 50.1000067, 14.396224 50.099974, 14.3963018 50.0999275, 14.396342 50.0999585, 14.3962589 50.1000067))",Mnohoúhelník 6,
"POLYGON ((14.396342 50.0999585, 14.3963903 50.0999327, 14.3965781 50.1000755, 14.3965432 50.100103, 14.396342 50.0999585))",Mnohoúhelník 7,
"POLYGON ((14.3964976 50.1001839, 14.3964547 50.1001529, 14.3965432 50.100103, 14.3965727 50.1001392, 14.3964976 50.1001839))",Mnohoúhelník 8,
"POLYGON ((14.39565 50.0994342, 14.3956581 50.0993912, 14.3957278 50.0993946, 14.3957251 50.0994393, 14.39565 50.0994342))",Mnohoúhelník 9,
"POLYGON ((14.3971586 50.1007725, 14.397172 50.1005781, 14.3972176 50.1005798, 14.3972069 50.100776, 14.3971586 50.1007725))",Mnohoúhelník 10,
"POLYGON ((14.3969092 50.1005596, 14.396944 50.1005235, 14.3970996 50.1005321, 14.3971533 50.1005734, 14.3969092 50.1005596))",Mnohoúhelník 11,
"POLYGON ((14.3969065 50.1007919, 14.3968743 50.100754, 14.3971318 50.1007626, 14.3970621 50.1008056, 14.3969065 50.1007919))",Mnohoúhelník 12,
"POLYGON ((14.3961742 50.1007424, 14.3961903 50.1006512, 14.3962547 50.1006564, 14.396252 50.10072, 14.3961742 50.1007424))",Mnohoúhelník 13,
"POLYGON ((14.396193 50.1005858, 14.3961877 50.100486, 14.3962754 50.1005239, 14.3962781 50.1006013, 14.396193 50.1005858))",Mnohoúhelník 14,
"POLYGON ((14.3963002 50.1011461, 14.3963405 50.1011278, 14.3964022 50.1011725, 14.3963861 50.1012138, 14.3963002 50.1011461))",Mnohoúhelník 15,
"POLYGON ((14.3962628 50.1012895, 14.3963861 50.1012138, 14.3964049 50.1012586, 14.3963003 50.1013188, 14.3962628 50.1012895))",Mnohoúhelník 16,
"POLYGON ((14.3954623 50.10156, 14.395481 50.101455, 14.3955427 50.1014877, 14.3955347 50.1015462, 14.3954623 50.10156))",Mnohoúhelník 17,
"POLYGON ((14.3954489 50.1016064, 14.3951377 50.1016013, 14.3951458 50.1015479, 14.3954623 50.10156, 14.3954489 50.1016064))",Mnohoúhelník 18,
"POLYGON ((14.395075 50.1015232, 14.3950804 50.101444, 14.3951448 50.1014475, 14.3951458 50.1015479, 14.395075 50.1015232))",Mnohoúhelník 19,
"POLYGON ((14.3951952 50.1011426, 14.3952052 50.1011038, 14.3955331 50.1011151, 14.3955117 50.1011564, 14.3951952 50.1011426))",Mnohoúhelník 20,
"POLYGON ((14.3945903 50.0998761, 14.3946788 50.0998658, 14.3947405 50.099926, 14.3946976 50.0999518, 14.3945903 50.0998761))",Mnohoúhelník 21,
"POLYGON ((14.3945313 50.0998417, 14.3945769 50.099864, 14.3944535 50.0999191, 14.394416 50.0998847, 14.3945313 50.0998417))",Mnohoúhelník 22,
"POLYGON ((14.3947862 50.1026849, 14.3947996 50.1026143, 14.3948667 50.1026075, 14.3948506 50.1027004, 14.3947862 50.1026849))",Mnohoúhelník 23,
"POLYGON ((14.3927191 50.1019369, 14.3927486 50.1019077, 14.3929766 50.1020711, 14.3929229 50.1020917, 14.3927191 50.1019369))",Mnohoúhelník 24,
"POLYGON ((14.3927486 50.1019077, 14.3927513 50.101856, 14.3928264 50.1018165, 14.3928666 50.1018492, 14.3927486 50.1019077))",Mnohoúhelník 25,
"POLYGON ((14.3920413 50.1013586, 14.3921701 50.1013001, 14.3922076 50.1013397, 14.3921111 50.1013827, 14.3920413 50.1013586))",Mnohoúhelník 26,
"POLYGON ((14.3920199 50.1011505, 14.3920253 50.1011126, 14.3921352 50.1011143, 14.3921352 50.1011642, 14.3920199 50.1011505))",Mnohoúhelník 27,
"POLYGON ((14.3920962 50.1005977, 14.3920962 50.1005633, 14.3922115 50.1005685, 14.3922034 50.1006081, 14.3920962 50.1005977))",Mnohoúhelník 28,
"POLYGON ((14.3920801 50.1007233, 14.3920881 50.1006838, 14.39219 50.1006872, 14.392182 50.1007302, 14.3920801 50.1007233))",Mnohoúhelník 29,
"POLYGON ((14.3921364 50.1002701, 14.3921444 50.1002306, 14.3922329 50.1002357, 14.3922329 50.1002787, 14.3921364 50.1002701))",Mnohoúhelník 30,
"POLYGON ((14.3953409 50.0995902, 14.3953275 50.0995446, 14.3953824 50.0995145, 14.3953985 50.0995618, 14.3953409 50.0995902))",Mnohoúhelník 32,
"POLYGON ((14.3954845 50.0994206, 14.3954255 50.0994163, 14.3954309 50.099369, 14.3954926 50.0993699, 14.3954845 50.0994206))",Mnohoúhelník 33,
"POLYGON ((14.3954983 50.0988355, 14.3955077 50.0987933, 14.3955681 50.0988002, 14.3955667 50.0988407, 14.3954983 50.0988355))",Mnohoúhelník 34,
"POLYGON ((14.3957236 50.0988475, 14.3957236 50.0988088, 14.3957759 50.0988088, 14.3957746 50.098851, 14.3957236 50.0988475))",Mnohoúhelník 35,
