WKT,název,popis
"POLYGON ((14.3920187 50.101264, 14.3921045 50.1012744, 14.3920509 50.1013122, 14.3892083 50.1018938, 14.3891814 50.1018456, 14.3920187 50.101264))",Zikova,
"POLYGON ((14.3928559 50.1020491, 14.3929578 50.1019871, 14.3930061 50.1020215, 14.3916113 50.102782, 14.3907477 50.1032568, 14.3906994 50.103219, 14.3928559 50.1020491))",Technicka 1,
"POLYGON ((14.3906136 50.1031639, 14.3905545 50.1031226, 14.3928291 50.1018874, 14.3928773 50.1019286, 14.3906136 50.1031639))",Technicka 2,
"POLYGON ((14.3953622 50.1026603, 14.3968428 50.1027395, 14.396832 50.102798, 14.3953461 50.1027085, 14.3953622 50.1026603))",Solinova 2,
"POLYGON ((14.3962092 50.1012176, 14.3962736 50.1011866, 14.3973143 50.1019677, 14.3972821 50.1020227, 14.3962092 50.1012176))",Verdunska,
"POLYGON ((14.396409 50.1000748, 14.3963607 50.100037, 14.3973102 50.0995242, 14.3973531 50.0995655, 14.396409 50.1000748))",Dejvicka,
"POLYGON ((14.3934283 50.0989771, 14.3934283 50.0989393, 14.3948338 50.0988842, 14.3954658 50.098874, 14.3960032 50.0989186, 14.3966094 50.0989565, 14.3966631 50.0989806, 14.3965987 50.0990012, 14.3957887 50.0989427, 14.3953917 50.0989186, 14.3950054 50.0989221, 14.3945227 50.0989358, 14.3938628 50.0989599, 14.3934283 50.0989771))",Kafkova,
"POLYGON ((14.3934318 50.0990495, 14.3945959 50.0999407, 14.3945529 50.0999682, 14.3943384 50.0997962, 14.3938878 50.0994693, 14.3933835 50.0990839, 14.3934318 50.0990495))",Buzulucka,
"POLYGON ((14.3921983 50.1003226, 14.3921339 50.1003192, 14.3922841 50.0990494, 14.3923431 50.0990494, 14.3921983 50.1003226))",Banskobystricka,
"POLYGON ((14.3939546 50.1006027, 14.3940243 50.1006027, 14.3940189 50.1006922, 14.3940619 50.1008195, 14.3941048 50.1009262, 14.3941638 50.100995, 14.3942603 50.1010844, 14.3943462 50.1011533, 14.3944427 50.1012221, 14.3945286 50.1012702, 14.3946573 50.1013322, 14.3947753 50.10137, 14.3949524 50.1014285, 14.3950918 50.1014664, 14.3951569 50.1014686, 14.3951669 50.1015214, 14.3950435 50.1014973, 14.3948933 50.1014526, 14.3947485 50.101401, 14.3946144 50.1013563, 14.3944535 50.1012771, 14.3943462 50.1012083, 14.3942389 50.1011326, 14.394137 50.1010397, 14.3940619 50.100964, 14.3940243 50.1008814, 14.3939868 50.1008023, 14.3939492 50.1007094, 14.3939546 50.1006027))",Periferie,
