WKT,název,popis,polygon_numpy,polygon_numpy_calibrated
"POLYGON ((14.3920187 50.101264, 14.3921045 50.1012744, 14.3920509 50.1013122, 14.3892083 50.1018938, 14.3891814 50.1018456, 14.3920187 50.101264))",Zikova,,"[[14.3920187 50.101264 ]
 [14.3921045 50.1012744]
 [14.3920509 50.1013122]
 [14.3892083 50.1018938]
 [14.3891814 50.1018456]
 [14.3920187 50.101264 ]]","[[  74.38916249 -243.09594237]
 [  75.54546392 -236.97630592]
 [  79.74871672 -240.79919202]
 [ 144.42788386 -443.54123162]
 [ 139.06839459 -445.46014462]
 [  74.38916249 -243.09594237]]"
"POLYGON ((14.3928559 50.1020491, 14.3929578 50.1019871, 14.3930061 50.1020215, 14.3916113 50.102782, 14.3907477 50.1032568, 14.3906994 50.103219, 14.3928559 50.1020491))",Technicka 1,,"[[14.3928559 50.1020491]
 [14.3929578 50.1019871]
 [14.3930061 50.1020215]
 [14.3916113 50.102782 ]
 [14.3907477 50.1032568]
 [14.3906994 50.103219 ]
 [14.3928559 50.1020491]]","[[ 161.68747716 -183.38246544]
 [ 154.79331313 -176.11471332]
 [ 158.61839462 -172.66977706]
 [ 243.18399514 -272.14887367]
 [ 295.98142906 -333.74043947]
 [ 291.77838847 -337.18541732]
 [ 161.68747716 -183.38246544]]"
"POLYGON ((14.3906136 50.1031639, 14.3905545 50.1031226, 14.3928291 50.1018874, 14.3928773 50.1019286, 14.3906136 50.1031639))",Technicka 2,,"[[14.3906136 50.1031639]
 [14.3905545 50.1031226]
 [14.3928291 50.1018874]
 [14.3928773 50.1019286]
 [14.3906136 50.1031639]]","[[ 285.65178208 -343.30502697]
 [ 281.05959642 -347.52030601]
 [ 143.7072525  -185.2941112 ]
 [ 148.28845467 -181.85628602]
 [ 285.65178208 -343.30502697]]"
"POLYGON ((14.3953622 50.1026603, 14.3968428 50.1027395, 14.396832 50.102798, 14.3953461 50.1027085, 14.3953622 50.1026603))",Solinova 2,,"[[14.3953622 50.1026603]
 [14.3968428 50.1027395]
 [14.396832  50.102798 ]
 [14.3953461 50.1027085]
 [14.3953622 50.1026603]]","[[229.6510891   -4.6272382 ]
 [238.46125455 100.97185648]
 [244.96613352 100.20129919]
 [235.01066525  -5.77564785]
 [229.6510891   -4.6272382 ]]"
"POLYGON ((14.3962092 50.1012176, 14.3962736 50.1011866, 14.3973143 50.1019677, 14.3972821 50.1020227, 14.3962092 50.1012176))",Verdunska,,"[[14.3962092 50.1012176]
 [14.3962736 50.1011866]
 [14.3973143 50.1019677]
 [14.3972821 50.1020227]
 [14.3962092 50.1012176]]","[[ 69.23170155  55.78813472]
 [ 65.7848155   60.38153779]
 [152.64245059 134.60441193]
 [158.75806678 132.30750751]
 [ 69.23170155  55.78813472]]"
"POLYGON ((14.396409 50.1000748, 14.3963607 50.100037, 14.3973102 50.0995242, 14.3973531 50.0995655, 14.396409 50.1000748))",Dejvicka,,"[[14.396409  50.1000748]
 [14.3963607 50.100037 ]
 [14.3973102 50.0995242]
 [14.3973531 50.0995655]
 [14.396409  50.1000748]]","[[ 57.84152229  70.04346732]
 [ 62.04482401  66.59857925]
 [119.06274216 134.32542503]
 [114.47023313 137.38511291]
 [ 57.84152229  70.04346732]]"
"POLYGON ((14.3934283 50.0989771, 14.3934283 50.0989393, 14.3948338 50.0988842, 14.3954658 50.098874, 14.3960032 50.0989186, 14.3966094 50.0989565, 14.3966631 50.0989806, 14.3965987 50.0990012, 14.3957887 50.0989427, 14.3953917 50.0989186, 14.3950054 50.0989221, 14.3945227 50.0989358, 14.3938628 50.0989599, 14.3934283 50.0989771))",Kafkova,,"[[14.3934283 50.0989771]
 [14.3934283 50.0989393]
 [14.3948338 50.0988842]
 [14.3954658 50.098874 ]
 [14.3960032 50.0989186]
 [14.3966094 50.0989565]
 [14.3966631 50.0989806]
 [14.3965987 50.0990012]
 [14.3957887 50.0989427]
 [14.3953917 50.0989186]
 [14.3950054 50.0989221]
 [14.3945227 50.0989358]
 [14.3938628 50.0989599]
 [14.3934283 50.0989771]]","[[ 179.90406862 -142.55804538]
 [ 184.10724265 -142.55805597]
 [ 190.23340088  -42.30698273]
 [ 191.36666522    2.7721546 ]
 [ 186.40627759   41.10351266]
 [ 182.1904268    84.34216718]
 [ 179.5104705    88.17234981]
 [ 177.22003725   83.57876342]
 [ 183.72694312   25.8036531 ]
 [ 186.40749289   -2.51334731]
 [ 186.01889378  -30.06722701]
 [ 184.49605021  -64.49710121]
 [ 181.81661195 -111.56621156]
 [ 179.90406862 -142.55804538]]"
"POLYGON ((14.3934318 50.0990495, 14.3945959 50.0999407, 14.3945529 50.0999682, 14.3943384 50.0997962, 14.3938878 50.0994693, 14.3933835 50.0990839, 14.3934318 50.0990495))",Buzulucka,,"[[14.3934318 50.0990495]
 [14.3945959 50.0999407]
 [14.3945529 50.0999682]
 [14.3943384 50.0997962]
 [14.3938878 50.0994693]
 [14.3933835 50.0990839]
 [14.3934318 50.0990495]]","[[ 171.85354543 -142.30837898]
 [  72.75604818  -59.27738419]
 [  69.69822282  -62.34444619]
 [  88.82394647  -77.64370775]
 [ 125.1738319  -109.78322752]
 [ 168.02842504 -145.75348329]
 [ 171.85354543 -142.30837898]]"
"POLYGON ((14.3921983 50.1003226, 14.3921339 50.1003192, 14.3922841 50.0990494, 14.3923431 50.0990494, 14.3921983 50.1003226))",Banskobystricka,,"[[14.3921983 50.1003226]
 [14.3921339 50.1003192]
 [14.3922841 50.0990494]
 [14.3923431 50.0990494]
 [14.3921983 50.1003226]]","[[  30.29014467 -230.28811078]
 [  30.66811874 -234.88148454]
 [ 171.86383349 -224.17090319]
 [ 171.86390691 -219.96258313]
 [  30.29014467 -230.28811078]]"
"POLYGON ((14.3939546 50.1006027, 14.3940243 50.1006027, 14.3940189 50.1006922, 14.3940619 50.1008195, 14.3941048 50.1009262, 14.3941638 50.100995, 14.3942603 50.1010844, 14.3943462 50.1011533, 14.3944427 50.1012221, 14.3945286 50.1012702, 14.3946573 50.1013322, 14.3947753 50.10137, 14.3949524 50.1014285, 14.3950918 50.1014664, 14.3951569 50.1014686, 14.3951669 50.1015214, 14.3950435 50.1014973, 14.3948933 50.1014526, 14.3947485 50.101401, 14.3946144 50.1013563, 14.3944535 50.1012771, 14.3943462 50.1012083, 14.3942389 50.1011326, 14.394137 50.1010397, 14.3940619 50.100964, 14.3940243 50.1008814, 14.3939868 50.1008023, 14.3939492 50.1007094, 14.3939546 50.1006027))",Periferie,,"[[14.3939546 50.1006027]
 [14.3940243 50.1006027]
 [14.3940189 50.1006922]
 [14.3940619 50.1008195]
 [14.3941048 50.1009262]
 [14.3941638 50.100995 ]
 [14.3942603 50.1010844]
 [14.3943462 50.1011533]
 [14.3944427 50.1012221]
 [14.3945286 50.1012702]
 [14.3946573 50.1013322]
 [14.3947753 50.10137  ]
 [14.3949524 50.1014285]
 [14.3950918 50.1014664]
 [14.3951569 50.1014686]
 [14.3951669 50.1015214]
 [14.3950435 50.1014973]
 [14.3948933 50.1014526]
 [14.3947485 50.101401 ]
 [14.3946144 50.1013563]
 [14.3944535 50.1012771]
 [14.3943462 50.1012083]
 [14.3942389 50.1011326]
 [14.394137  50.1010397]
 [14.3940619 50.100964 ]
 [14.3940243 50.1008814]
 [14.3939868 50.1008023]
 [14.3939492 50.1007094]
 [14.3939546 50.1006027]]","[[   0.85469147 -105.01916559]
 [   0.85471629 -100.04780292]
 [  10.80667388 -100.43301232]
 [  24.961825    -97.3661212 ]
 [  36.82635919  -94.30636386]
 [  44.47660989  -90.09826473]
 [  54.41750494  -83.21553021]
 [  62.07890231  -77.08883663]
 [  69.72919552  -70.20612379]
 [  75.07775018  -64.0794383 ]
 [  81.97196517  -54.900116  ]
 [  86.17526314  -46.48394216]
 [  92.6803863   -33.8525775 ]
 [  96.89486696  -23.91010681]
 [  97.13958989  -19.26692857]
 [ 103.01070488  -18.55381188]
 [ 100.33072801  -27.35511489]
 [  95.360114    -38.06786677]
 [  89.62228131  -48.39547771]
 [  84.65172484  -57.95995397]
 [  75.84493351  -69.43589072]
 [  68.19463172  -77.08889639]
 [  59.77709487  -84.74191765]
 [  49.44701631  -92.00979763]
 [  41.0295141   -97.36621702]
 [  31.84478515 -100.04797213]
 [  23.04924037 -102.72260593]
 [  12.7192048  -105.40437423]
 [   0.85469147 -105.01916559]]"
